"Name","DeviceType","SystemVersion","GpuType","MemoryLimit","HalfResScreen","DisableShadow","HalfResTex","QuarterResTex","HalfResUi","CullValleyBg","OffsetLODs","ReduceAnimations","LowQualityParticleSimulation","ReduceWorkerUiAnims","DisableMovie","Probability"
"String","String","String","String","int","String","String","String","String","String","String","String","String","String","String","String","int"
"BadPixelFillrate",,,"Adreno (TM) 504",,"On",,,,,,,,,,,
"BadVertexProcessing","SM-G900F",,,,,,,,,"On",,,,,,
,"SM-N9200",,,,,,,,,,,,,,,
,"ASUS_X00ID",,,,,,,,,,,,,,,
,"LGM-G600S",,,,,,,,,,,,,,,
,"SM-G928I",,,,,,,,,,,,,,,
,"SM-A2070",,,,,,,,,,,,,,,
,"SM-G928C",,,,,,,,,,,,,,,
,"iPad4,4",,,,,,,,,,,,,,,
,"iPad4,7",,,,,,,,,,,,,,,
,"Meizu M6s",,,,,,,,,,,,,,,
,"G3226",,,,,,,,,,,,,,,
,"iPad4,5",,,,,,,,,,,,,,,
,"iPad4,8",,,,,,,,,,,,,,,
,"SM-C900F",,,,,,,,,,,,,,,
,"Nexus 5X",,,,,,,,,,,,,,,
,"iPad4,2",,,,,,,,,,,,,,,
,"iPad4,1",,,,,,,,,,,,,,,
,"ASUS_X00LDB",,,,,,,,,,,,,,,
,"Infinix X573",,,,,,,,,,,,,,,
,"Lenovo TB-X704F",,,,,,,,,,,,,,,
,"moto g power",,,,,,,,,,,,,,,
,"SM-T713",,,,,,,,,,,,,,,
,"VTR-L09",,,,,,,,,,,,,,,
,"SM-G925W8",,,,,,,,,,,,,,,
,"CPH1701",,,,,,,,,,,,,,,
,"POT-LX1",,,,,,,,,,,,,,,
,"SM-A730F",,,,,,,,,,,,,,,
,"LG-H873",,,,,,,,,,,,,,,
,"SM-T307U",,,,,,,,,,,,,,,
,"SM-G935F",,,,,,,,,,,,,,,
,"DUB-LX3",,,,,,,,,,,,,,,
,"CPH2067",,,,,,,,,,,,,,,
,"DUB-LX2",,,,,,,,,,,,,,,
,"vivo 1718",,,,,,,,,,,,,,,
,"TA-1053",,,,,,,,,,,,,,,
,"Redmi Note 5A Prime",,,,,,,,,,,,,,,
,"SM-A910F",,,,,,,,,,,,,,,
,"RMX1811",,,,,,,,,,,,,,,
,"Redmi 4X",,,,,,,,,,,,,,,
,"TA-1024",,,,,,,,,,,,,,,
,"SM-C5010",,,,,,,,,,,,,,,
,"SM-G935L",,,,,,,,,,,,,,,
,"SM-J810Y",,,,,,,,,,,,,,,
,"ASUS_X00LD",,,,,,,,,,,,,,,
,"SM-N920L",,,,,,,,,,,,,,,
,"STK-L22",,,,,,,,,,,,,,,
,"SM-A505F",,,,,,,,,,,,,,,
,"SM-A530F",,,,,,,,,,,,,,,
,"VKY-L29",,,,,,,,,,,,,,,
,"SM-A505FN",,,,,,,,,,,,,,,
,"CMR-AL19",,,,,,,,,,,,,,,
,"SM-A530W",,,,,,,,,,,,,,,
,"SM-A750GN",,,,,,,,,,,,,,,
,"VTR-L29",,,,,,,,,,,,,,,
,"SM-A920F",,,,,,,,,,,,,,,
,"SM-G935W8",,,,,,,,,,,,,,,
,"SM-N935F",,,,,,,,,,,,,,,
,"SM-T813",,,,,,,,,,,,,,,
,"SM-A750X",,,,,,,,,,,,,,,
,"SM-A207F",,,,,,,,,,,,,,,
,"iPhone7,1",,,,,,,,,,,,,,,
,"MI MAX 3",,,,,,,,,,,,,,,
,"vivo 1906",,,,,,,,,,,,,,,
,"SM-A520W",,,,,,,,,,,,,,,
,"SM-C9000",,,,,,,,,,,,,,,
,"CPH1801",,,,,,,,,,,,,,,
,"SM-A520F",,,,,,,,,,,,,,,
,"vivo 1716",,,,,,,,,,,,,,,
,"Redmi Note 5",,,,,,,,,,,,,,,
,"MAR-LX1B",,,,,,,,,,,,,,,
,"Lenovo L39051",,,,,,,,,,,,,,,
,"vivo 1817",,,,,,,,,,,,,,,
,"iPhone6,1",,,,,,,,,,,,,,,
,"SM-N920T",,,,,,,,,,,,,,,
,"Redmi Note 6 Pro",,,,,,,,,,,,,,,
,"DUB-LX1",,,,,,,,,,,,,,,
,"moto g(6) plus",,,,,,,,,,,,,,,
,"H3113",,,,,,,,,,,,,,,
,"MI 9",,,,,,,,,,,,,,,
,"MHA-L29",,,,,,,,,,,,,,,
,"RMX1821",,,,,,,,,,,,,,,
,"LG-H933",,,,,,,,,,,,,,,
,"SM-G930F",,,,,,,,,,,,,,,
,"Pixel 3a",,,,,,,,,,,,,,,
,"HRY-LX1T",,,,,,,,,,,,,,,
,"iPhone7,2",,,,,,,,,,,,,,,
,"ASUS_X00TDB",,,,,,,,,,,,,,,
,"Redmi Note 8",,,,,,,,,,,,,,,
,"Redmi 8",,,,,,,,,,,,,,,
,"SM-G920I",,,,,,,,,,,,,,,
,"ASUS_X00TD",,,,,,,,,,,,,,,
,"SM-T819Y",,,,,,,,,,,,,,,
,"SM-A207M",,,,,,,,,,,,,,,
,"Nokia 6.1",,,,,,,,,,,,,,,
,"vivo 1811",,,,,,,,,,,,,,,
,"vivo 1920",,,,,,,,,,,,,,,
,"iPhone6,2",,,,,,,,,,,,,,,
,"Lenovo L58041",,,,,,,,,,,,,,,
,"CPH2069",,,,,,,,,,,,,,,
,"LM-Q620",,,,,,,,,,,,,,,
,"STK-L21",,,,,,,,,,,,,,,
,"Redmi 5",,,,,,,,,,,,,,,
,"I4293",,,,,,,,,,,,,,,
,"F5122",,,,,,,,,,,,,,,
,"CPH1613",,,,,,,,,,,,,,,
,"CPH2061",,,,,,,,,,,,,,,
,"iPad5,2",,,,,,,,,,,,,,,
,"ASUS_X00QD",,,,,,,,,,,,,,,
,"RMX1809",,,,,,,,,,,,,,,
,"CPH1901",,,,,,,,,,,,,,,
,"HRY-LX1MEB",,,,,,,,,,,,,,,
,"F2",,,,,,,,,,,,,,,
,"SM-A3051",,,,,,,,,,,,,,,
,"SM-G930W8",,,,,,,,,,,,,,,
,"LG-H870DS",,,,,,,,,,,,,,,
,"STF-L09",,,,,,,,,,,,,,,
,"iPad5,1",,,,,,,,,,,,,,,
,"DUK-L09",,,,,,,,,,,,,,,
,"vivo 1807",,,,,,,,,,,,,,,
,"CPH2059",,,,,,,,,,,,,,,
,"E6653",,,,,,,,,,,,,,,
,"S61",,,,,,,,,,,,,,,
,"T770B",,,,,,,,,,,,,,,
,"F5121",,,,,,,,,,,,,,,
,"Hi9Air",,,,,,,,,,,,,,,
,"vivo 1935",,,,,,,,,,,,,,,
,"HTC Desire 12+",,,,,,,,,,,,,,,
,"SHT-AL09",,,,,,,,,,,,,,,
,"Redmi 7A",,,,,,,,,,,,,,,
,"STK-LX3",,,,,,,,,,,,,,,
,"SM-P205",,,,,,,,,,,,,,,
,"vivo 1919",,,,,,,,,,,,,,,
,"BKK-LX2",,,,,,,,,,,,,,,
,"iPod7,1",,,,,,,,,,,,,,,
,"ASUS_X01AD",,,,,,,,,,,,,,,
,"LON-L29",,,,,,,,,,,,,,,
,"Redmi 7",,,,,,,,,,,,,,,
,"XP8800",,,,,,,,,,,,,,,
,"Nokia 4.2",,,,,,,,,,,,,,,
,"H3123",,,,,,,,,,,,,,,
,"CPH2127",,,,,,,,,,,,,,,
,"SM-C7000",,,,,,,,,,,,,,,
,"MAR-LX1A",,,,,,,,,,,,,,,
,"SM-A5070",,,,,,,,,,,,,,,
,"SM-A217F",,,,,,,,,,,,,,,
,"LG-H930",,,,,,,,,,,,,,,
,"CPH1837",,,,,,,,,,,,,,,
,"SM-T720",,,,,,,,,,,,,,,
,"SM-A705MN",,,,,,,,,,,,,,,
,"vivo 1910",,,,,,,,,,,,,,,
,"vivo 1818",,,,,,,,,,,,,,,
,"iPad5,4",,,,,,,,,,,,,,,
,"SM-A705YN",,,,,,,,,,,,,,,
,"iPad5,3",,,,,,,,,,,,,,,
,"moto g(7) power",,,,,,,,,,,,,,,
,"vivo 1804",,,,,,,,,,,,,,,
,"vivo 1937",,,,,,,,,,,,,,,
,"moto g(7) play",,,,,,,,,,,,,,,
,"SM-A505GN",,,,,,,,,,,,,,,
,"SM-A507FN",,,,,,,,,,,,,,,
,"CPH1911",,,,,,,,,,,,,,,
,"LG-H831",,,,,,,,,,,,,,,
,"SM-A705F",,,,,,,,,,,,,,,
,"Redmi Note 7",,,,,,,,,,,,,,,
,"SM-A705W",,,,,,,,,,,,,,,
,"ASUS_X01BDA",,,,,,,,,,,,,,,
,"vivo 1725",,,,,,,,,,,,,,,
,"ARS-L22",,,,,,,,,,,,,,,
,"V1816A",,,,,,,,,,,,,,,
,"MI MAX",,,,,,,,,,,,,,,
,"IN2015",,,,,,,,,,,,,,,
,"MI 8",,,,,,,,,,,,,,,
,"vivo 1806",,,,,,,,,,,,,,,
,"CPH1823",,,,,,,,,,,,,,,
,"SM-A7050",,,,,,,,,,,,,,,
,"CPH1831",,,,,,,,,,,,,,,
,"SM-N9600",,,,,,,,,,,,,,,
,"SM-A315G",,,,,,,,,,,,,,,
,"CPH1819",,,,,,,,,,,,,,,
,"PRO 7 Plus",,,,,,,,,,,,,,,
